# total=231 split_at=58 tabelas_lidas=231
117	118 - TRANSMITSCROLL_ESSENCE	344
118	119 - DYE_TICKET_ESSENCE	372
119	120 - GOBLIN_ESSENCE	1356
120	121 - GOBLIN_EQUIP_TYPE	68
121	122 - GOBLIN_EQUIP_ESSENCE	392
122	123 - GOBLIN_EXPPILL_ESSENCE	352
123	124 - SELL_CERTIFICATE_ESSENCE	612
124	125 - TARGET_ITEM_ESSENCE	548
125	126 - LOOK_INFO_ESSENCE	344
126	127 - UPGRADE_PRODUCTION_CONFIG	1028
127	128 - ACC_STORAGE_BLACKLIST_CONFIG	2116
128	129 - FACE_HAIR_TEXTURE_MAP	1092
129	130 - MULTI_EXP_CONFIG	468
130	131 - INC_SKILL_ABILITY_ESSENCE	356
131	132 - GOD_EVIL_CONVERT_CONFIG	1092
132	133 - WEDDING_CONFIG	908
133	134 - WEDDING_BOOKCARD_ESSENCE	356
134	135 - WEDDING_INVITECARD_ESSENCE	344
135	136 - SHARPENER_ESSENCE	372
136	137 - FACE_THIRDEYE_ESSENCE	336
137	138 - FACTION_FORTRESS_CONFIG	1956
138	139 - FACTION_BUILDING_SUB_TYPE	68
139	140 - FACTION_BUILDING_ESSENCE	280
140	141 - FACTION_MATERIAL_ESSENCE	376
141	142 - CONGREGATE_ESSENCE	508
142	143 - ENGRAVE_MAJOR_TYPE	68
143	144 - ENGRAVE_SUB_TYPE	68
144	145 - ENGRAVE_ESSENCE	560
145	146 - NPC_ENGRAVE_SERVICE	132
146	147 - NPC_RANDPROP_SERVICE	228
147	148 - RANDPROP_TYPE	68
148	149 - RANDPROP_ESSENCE	280
149	150 - WIKI_TABOO_CONFIG	5188
150	151 - FORCE_CONFIG	736
151	152 - FORCE_TOKEN_ESSENCE	356
152	153 - NPC_FORCE_SERVICE	72
153	154 - PLAYER_DEATH_DROP_CONFIG	1092
154	155 - DYNSKILLEQUIP_ESSENCE	360
155	156 - CONSUME_POINTS_CONFIG	8260
156	157 - ONLINE_AWARDS_CONFIG	2632
157	158 - COUNTRY_CONFIG	1660
158	159 - GM_ACTIVITY_CONFIG	136
159	160 - FASHION_WEAPON_CONFIG	128
160	161 - PET_EVOLVE_CONFIG	428
161	162 - PET_EVOLVED_SKILL_CONFIG	84
162	163 - MONEY_CONVERTIBLE_ESSENCE	344
163	164 - STONE_CHANGE_RECIPE_TYPE	68
164	165 - STONE_CHANGE_RECIPE	148
165	166 - MERIDIAN_CONFIG	308
166	167 - PET_EVOLVED_SKILL_RAND_CONFIG	440
167	168 - AUTOTASK_DISPLAY_CONFIG	4292
168	169 - TOUCH_SHOP_CONFIG	2244
169	170 - TITLE_CONFIG	1128
170	171 - COMPLEX_TITLE_CONFIG	1164
171	172 - MONSTER_SPIRIT_ESSENCE	356
172	173 - PLAYER_SPIRIT_CONFIG	232
173	174 - PLAYER_REINCARNATION_CONFIG	148
174	175 - HISTORY_STAGE_CONFIG	588
175	176 - HISTORY_ADVANCE_CONFIG	196
176	177 - AUTOTEAM_CONFIG	1148
177	178 - PLAYER_REALM_CONFIG	868
178	179 - CHARIOT_CONFIG	784
179	180 - CHARIOT_WAR_CONFIG	92
180	181 - POKER_LEVELEXP_CONFIG	488
181	182 - POKER_SUITE_ESSENCE	96
182	183 - POKER_DICE_ESSENCE	2396
183	184 - POKER_SUB_TYPE	80
184	185 - POKER_ESSENCE	728
185	186 - TOKEN_SHOP_CONFIG	324
186	187 - SHOP_TOKEN_ESSENCE	348
187	188 - GT_CONFIG	76
188	189 - RAND_SHOP_CONFIG	2128
189	190 - PROFIT_TIME_CONFIG	72
190	191 - FACTION_PVP_CONFIG	468
191	192 - UNIVERSAL_TOKEN_ESSENCE	476
192	193 - TASK_LIST_CONFIG	1092
193	194 - TASK_DICE_BY_WEIGHT_CONFIG	204
194	195 - FASHION_SUITE_ESSENCE	224
195	196 - FASHION_BEST_COLOR_CONFIG	580
196	197 - SIGN_AWARD_CONFIG	316
197	198 - ASTROLABE_ESSENCE	764
198	199 - ASTROLABE_RANDOM_ADDON_ESSENCE	348
199	200 - ASTROLABE_INC_INNER_POINT_VALUE_ESSENCE	396
200	201 - ASTROLABE_INC_EXP_ESSENCE	348
201	202 - ITEM_PACKAGE_BY_PROFESSION_ESSENCE	444
202	203 - ASTROLABE_LEVELEXP_CONFIG	468
203	204 - ASTROLABE_ADDON_RANDOM_CONFIG	508
204	205 - ASTROLABE_APPEARANCE_CONFIG	1388
205	206 - EQUIP_MAKE_HOLE_CONFIG	1028
206	207 - SOLO_TOWER_CHALLENGE_LEVEL_CONFIG	2940
207	208 - SOLO_TOWER_CHALLENGE_AWARD_PAGE_CONFIG	308
208	209 - SOLO_TOWER_CHALLENGE_AWARD_LIST_CONFIG	1364
209	210 - SOLO_TOWER_CHALLENGE_SCORE_COST_CONFIG	8772
210	211 - MNFACTION_WAR_CONFIG	684
211	212 - NPC_CROSS_SERVER_SERVICE	104
212	213 - FIREWORKS2_ESSENCE	1416
213	214 - FIX_POSITION_TRANSMIT_ESSENCE	348
214	215 - HOME_CONFIG	1412
215	216 - HOME_PRODUCTS_CONFIG	624
216	217 - HOME_RESOURCE_PRODUCE_CONFIG	716
217	218 - HOME_FORMULAS_PRODUCE_RECIPE	232
218	219 - HOME_FORMULAS_ITEM_ESSENCE	360
219	220 - HOME_PRODUCE_SERVICE_CONFIG	1092
220	221 - HOME_FACTORY_CONFIG	520
221	222 - HOME_ITEM_MAJOR_TYPE	68
222	223 - HOME_ITEM_SUB_TYPE	68
223	224 - HOME_ITEM_ENTITY	904
224	225 - HOME_FORMULAS_PRODUCE_MAJOR_TYPE	68
225	226 - HOME_FORMULAS_PRODUCE_SUB_TYPE	68
226	227 - HOME_FORMULAS_ITEM_MAJOR_TYPE	68
227	228 - HOME_FORMULAS_ITEM_SUB_TYPE	68
228	229 - HOME_STORAGE_TASK_CONFIG	344
229	230 - WISH_TRIBUTE_ESSENCE	368
230	231 - RED_PACKET_PAPER_ESSENCE	504
